|-------+---------------------+--------+---------|
|  rank | name                | solved | recent  |
|-------+---------------------+--------+---------|
|  232  | (Andy_Dienes)       | 247    | 0       |
|  302  | gerglo              | 226    | 0       |
|  30   | silver83p           | 451    | 0       |
|  339  | (nimr0d)            | 218    | 0       |
|  350  | (kenbrooker)        | 215    | 0       |
|  39   | 16777216            | 420    | 0       |
|  592  | countyguy           | 178    | 0       |
|  657  | irchans             | 170    | 0       |
|  700  | judygu              | 166    | 0       |
|  759  | piguy314159         | 160    | 0       |
|  90   | robot-dreams        | 337    | 0       |
|  955  | derekjames          | 147    | 0       |
|  986  | mcj_haskell         | 145    | 0       |
|  105  | jwsiegel            | 326    | 1       |
|  131  | hexadoodle          | 301    | 1       |
|  15   | ubiquitousgrape     | 540    | 1       |
|  183  | mdean               | 264    | 1       |
|  263  | Morphie             | 237    | 1       |
|  523  | SageEuler           | 186    | 1       |
|  528  | jeffbaumann         | 185    | 1       |
|  25   | ecnerwala           | 477    | 2       |
|  42   | moovybuf            | 416    | 2       |
|  53   | bdolson             | 389    | 2       |
|  686  | (michael.s.emanuel) | 167    | 2       |
|  758  | dnormand            | 160    | 2       |
|  1=   | willhsmit           | 600+   | 3       |
|  22   | devjoe              | 487    | 3       |
|  423  | moabird             | 203    | 3       |
|  48   | modem               | 398    | 3       |
|  499  | Alex52              | 190    | 3       |
|  801  | AlanWE_332a5        | 157    | 3       |
|  904  | africh              | 151    | 3       |
|  539  | wtrotter            | 184    | 4       |
|  59   | stevefr01           | 375    | 4       |
|  69   | lackritz            | 359    | 4       |
|  117  | (deansm)            | 310    | 5       |
|  1=   | unime               | 600+   | 5       |
|  231  | Nyarpy              | 248    | 5       |
|  40   | pismobiker          | 418    | 5       |
|  467  | GNFS                | 196    | 5       |
|  538  | benhoch13           | 184    | 5       |
|  62   | (jake223)           | 371    | 5       |
|  971  | rgiuli              | 146    | 5       |
|  1=   | Stache              | 600+   | 6       |
|  391  | Varcho              | 208    | 6       |
|  508  | ravdin              | 189    | 6       |
|  82   | (heteroing)         | 346    | 6       |
|  12   | SlavaKabanovich     | 569    | 7       |
|  16   | DerekLedbetter      | 539    | 7       |
|  1=   | cmk                 | 600+   | 7       |
|  1=   | radeye              | 600+   | 7       |
|  390  | dawghaus            | 208    | 8       |
|  783  | bottesini           | 158    | 8       |
|  156  | (vbrhjajcn)         | 279    | 9       |
|  47   | tcarr               | 401    | 9       |
|  601  | Steppenwolf99       | 176    | 9       |
|  719  | boneheadmef         | 164    | 9       |
|  103  | (zandrewv)          | 327    | 10      |
|  396  | bruckner            | 207    | 10      |
|  440  | xlearsi31           | 201    | 10      |
|  476  | normanus            | 195    | 10      |
|  78   | Ryals               | 355    | 10      |
|  954  | freakazoid          | 147    | 10      |
|  141  | jimbo_elephant      | 291    | 11      |
|  462  | calypsonic          | 197    | 11      |
|  463  | (pgcomp)            | 197    | 11      |
|  562  | sroot               | 181    | 11      |
|  668  | kronion             | 169    | 11      |
|  152  | wilywampa           | 283    | 12      |
|  718  | (paher)             | 164    | 13      |
|  93   | mdm                 | 333    | 13      |
|  143  | philiplu            | 290    | 14      |
|  377  | wfdoran             | 210    | 14      |
|  727  | mvkid               | 163    | 14      |
|  985  | thebnq              | 145    | 14      |
|  196  | gman007             | 260    | 15      |
|  108  | anythingapplied     | 321    | 16      |
|  29   | amcalde             | 456    | 16      |
|  67   | s.c.koehler         | 364    | 16      |
|  17   | pyrolykos           | 521    | 17      |
|  447  | Snerd               | 200    | 17      |
|  709  | bbejot              | 165    | 17      |
|  940  | Mmm313              | 148    | 17      |
|  239  | EclipseEnigma       | 244    | 18      |
|  574  | arpsmack            | 180    | 18      |
|  882  | eparlin             | 152    | 18      |
|  165  | jsshep93            | 275    | 19      |
|  33   | (jpaulson)          | 446    | 19      |
|  475  | dbb3                | 195    | 19      |
|  77   | Zach-Lurf           | 355    | 19      |
|  9    | ving                | 593    | 19      |
|  1=   | beta_projects       | 600+   | 20      |
|  591  | ddgoff              | 178    | 20      |
|  312  | benner4520          | 223    | 21      |
|  37   | Robert_OConnor      | 437    | 21      |
|  493  | troom               | 191    | 21      |
|  85   | (dgokman)           | 344    | 21      |
|  357  | raphey              | 214    | 22      |
|  635  | bcc32               | 172    | 22      |
|  984  | ARoss               | 145    | 22      |
|  138  | Schu-ism            | 294    | 23      |
|  54   | Anton_Chigurh       | 387    | 23      |
|  678  | (RugbyRaizel)       | 168    | 23      |
|  244  | eighthcoda          | 243    | 24      |
|  84   | rammek              | 344    | 25      |
|  634  | theodoretliu        | 172    | 26      |
|  810  | misterjay           | 156    | 26      |
|  216  | jrouse              | 252    | 28      |
|  356  | MathIsAwesome       | 214    | 28      |
|  744  | timkostka           | 161    | 28      |
|  456  | blueyoshi321        | 198    | 29      |
|  140  | (Quadratic)         | 292    | 30      |
|  270  | alxcoh              | 235    | 30      |
|  633  | gwrightnyc          | 172    | 30      |
|  151  | tlesaul2            | 285    | 31      |
|  408  | JackODonohue        | 205    | 32      |
|  613  | tigrenok            | 175    | 32      |
|  903  | buohara             | 151    | 32      |
|  435  | hacatu              | 202    | 33      |
|  768  | (Recondite)         | 159    | 34      |
|  859  | dswenson            | 153    | 34      |
|  259  | CBurkhart           | 238    | 35      |
|  488  | schreck             | 192    | 36      |
|  248  | mathcounts4         | 242    | 37      |
|  238  | BartSalt            | 244    | 38      |
|  66   | mark                | 367    | 38      |
|  939  | ZelmersZoetrop      | 148    | 38      |
|  150  | Ted                 | 285    | 39      |
|  461  | BobTheGreat         | 197    | 39      |
|  717  | SirMrGuy            | 164    | 39      |
|  537  | JamesRauen          | 184    | 40      |
|  743  | mfeyg               | 161    | 42      |
|  106  | LarryBlake          | 325    | 43      |
|  178  | mcslane             | 268    | 43      |
|  258  | (kennethklinger)    | 238    | 43      |
|  573  | noogiedunn          | 180    | 43      |
|  338  | jfreiberg           | 218    | 45      |
|  554  | (gblais)            | 183    | 45      |
|  79   | jarip               | 351    | 47      |
|  308  | (caelum02)          | 224    | 48      |
|  321  | tgp4                | 221    | 49      |
|  158  | nkbk                | 278    | 50      |
|  335  | Zkid                | 219    | 51      |
|  422  | Derek_Clegg         | 203    | 51      |
|  295  | mccaskey            | 227    | 52      |
|  14   | mathseal            | 558    | 53      |
|  195  | brownkenny          | 260    | 53      |
|  434  | (matthewmcateer0)   | 202    | 53      |
|  229  | (CheeseLord)        | 249    | 54      |
|  938  | elendia             | 148    | 55      |
|  561  | dskabelund          | 181    | 56      |
|  970  | cdspitzer           | 146    | 56      |
|  100  | (nishanth17)        | 328    | 57      |
|  149  | mcamac              | 286    | 57      |
|  685  | merlinnimue         | 167    | 58      |
|  80   | JohnMorris          | 349    | 60      |
|  930  | Dakfro              | 149    | 60      |
|  364  | (dcoles)            | 212    | 61      |
|  782  | aspen8131           | 158    | 61      |
|  65   | (kelvinator)        | 367    | 62      |
|  1=   | al13n               | 600+   | 63      |
|  969  | Kugnae              | 146    | 63      |
|  433  | nsg                 | 202    | 64      |
|  922  | dazuma              | 150    | 64      |
|  190  | bjm2144             | 261    | 65      |
|  273  | rlipsett            | 234    | 65      |
|  277  | joe.giuliani        | 233    | 65      |
|  527  | jfirester           | 185    | 65      |
|  291  | grahamholmes        | 228    | 68      |
|  32   | Murphy              | 447    | 68      |
|  316  | chahld              | 222    | 69      |
|  809  | snydej              | 156    | 70      |
|  213  | 1011010110110       | 253    | 71      |
|  52   | candells            | 390    | 71      |
|  858  | gvance              | 153    | 71      |
|  334  | yli198              | 219    | 72      |
|  572  | (dgottner)          | 180    | 72      |
|  479  | kirkb               | 194    | 73      |
|  590  | ct075               | 178    | 73      |
|  646  | eskaug              | 171    | 74      |
|  120  | Abe27342            | 309    | 75      |
|  92   | bunderscore         | 334    | 75      |
|  91   | henru_wang          | 334    | 76      |
|  439  | Forehead            | 201    | 79      |
|  57   | dgiaimo             | 379    | 81      |
|  225  | slfotg              | 250    | 82      |
|  215  | mauro7inf           | 252    | 83      |
|  228  | rgao14              | 249    | 85      |
|  553  | BH4                 | 183    | 86      |
|  155  | CUViper             | 281    | 87      |
|  667  | SuckItLipkin        | 169    | 87      |
|  337  | samnolen            | 218    | 88      |
|  937  | deanaw              | 148    | 91      |
|  552  | ultrakeet           | 183    | 92      |
|  301  | Jacob_Elafandi      | 226    | 93      |
|  684  | (desaic)            | 167    | 93      |
|  832  | roxer94             | 155    | 93      |
|  929  | lpage               | 149    | 93      |
|  256  | billbo2424          | 239    | 94      |
|  220  | rcp2361             | 251    | 96      |
|  416  | ferret30            | 204    | 97      |
|  333  | jzheller            | 219    | 98      |
|  485  | Dikkemik            | 193    | 98      |
|  734  | Gimmesumcredit      | 162    | 98      |
|  376  | joelsmith           | 210    | 99      |
|  300  | dcterr              | 226    | 100     |
|  733  | CarbonFerrous       | 162    | 101     |
|  124  | smacke              | 305    | 102     |
|  146  | rathmann            | 287    | 102     |
|  170  | kubluck             | 273    | 102     |
|  432  | Eventhorizon        | 202    | 102     |
|  612  | (jbuysse)           | 175    | 102     |
|  112  | blakeney            | 315    | 104     |
|  666  | Artemish            | 169    | 104     |
|  164  | TickaJules          | 275    | 105     |
|  677  | evanseverson        | 168    | 105     |
|  74   | (fahrbach)          | 356    | 105     |
|  968  | geekynerd           | 146    | 105     |
|  219  | tguinard            | 251    | 107     |
|  611  | rphenson            | 175    | 109     |
|  63   | grantcarlson        | 368    | 109     |
|  716  | (bednarz0)          | 164    | 109     |
|  276  | lingomaniac88       | 233    | 110     |
|  61   | navghtivs           | 372    | 111     |
|  130  | nwalton125          | 301    | 112     |
|  846  | cjfred              | 154    | 114     |
|  134  | (cjqcjq)            | 297    | 115     |
|  726  | (gh314)             | 163    | 117     |
|  136  | NabiNaga            | 295    | 119     |
|  290  | GoHawks             | 228    | 119     |
|  355  | phob                | 214    | 121     |
|  111  | Thiros              | 317    | 122     |
|  557  | ArrayMaster3000     | 182    | 125     |
|  967  | andrew-i            | 146    | 125     |
|  415  | nasmith99           | 204    | 129     |
|  123  | wakkadojo           | 308    | 133     |
|  18   | (sivakd)            | 520    | 133     |
|  51   | universalset        | 392    | 134     |
|  287  | makhoma             | 229    | 136     |
|  204  | KenB                | 256    | 137     |
|  19   | aruff               | 513    | 138     |
|  551  | alexdor             | 183    | 138     |
|  571  | RikSm               | 180    | 138     |
|  902  | nullman             | 151    | 138     |
|  224  | quicksilver         | 250    | 140     |
|  375  | Deathfire-san       | 210    | 140     |
|  699  | mndrake             | 166    | 141     |
|  645  | (DavidBurgess1997)  | 171    | 143     |
|  387  | browni3141          | 209    | 144     |
|  536  | sligocki            | 184    | 144     |
|  23   | phsr                | 486    | 145     |
|  550  | intrepidcoder       | 183    | 145     |
|  610  | humcalc216          | 175    | 145     |
|  414  | cryptofalker        | 204    | 147     |
|  1=   | dev_random          | 600+   | 148     |
|  363  | superb_owl          | 212    | 153     |
|  324  | Rfloyd01            | 220    | 154     |
|  46   | oldpatzer           | 408    | 155     |
|  361  | montyn              | 213    | 160     |
|  618  | adang1345           | 174    | 160     |
|  474  | gjanee              | 195    | 161     |
|  966  | pj6444              | 146    | 161     |
|  549  | atkins              | 183    | 163     |
|  698  | Dot                 | 166    | 163     |
|  725  | jweibley628         | 163    | 163     |
|  881  | mps                 | 152    | 165     |
|  953  | shchmue             | 147    | 165     |
|  181  | karldray            | 266    | 166     |
|  644  | gurpreet_09         | 171    | 167     |
|  845  | SheldonD            | 154    | 167     |
|  800  | (Brian.Mellendorf)  | 157    | 169     |
|  272  | xan                 | 234    | 171     |
|  498  | vscotto             | 190    | 172     |
|  556  | torgan              | 182    | 173     |
|  98   | akimitsu            | 329    | 173     |
|  589  | edjah               | 178    | 174     |
|  286  | Valar_Dev           | 229    | 175     |
|  349  | mchalek             | 215    | 175     |
|  487  | Iguana32            | 192    | 175     |
|  395  | ExpHP               | 207    | 176     |
|  880  | ewccatch            | 152    | 176     |
|  127  | godmar              | 303    | 177     |
|  207  | qta                 | 255    | 177     |
|  31   | doctornick5         | 449    | 179     |
|  262  | (chsl95)            | 237    | 181     |
|  311  | ckthomas            | 223    | 184     |
|  656  | awesomeusername     | 170    | 185     |
|  732  | PerryJer1           | 162    | 185     |
|  212  | Abednego            | 253    | 186     |
|  715  | jprobin             | 164    | 187     |
|  857  | (haxdogg)           | 153    | 188     |
|  24   | pwensing            | 480    | 194     |
|  548  | aaymeloglu          | 183    | 195     |
|  484  | jwpowell            | 193    | 196     |
|  348  | rjaguar3            | 216    | 197     |
|  632  | doc_ou              | 172    | 200     |
|  831  | hime                | 155    | 201     |
|  166  | (xleviator)         | 274    | 204     |
|  199  | enrev               | 258    | 204     |
|  389  | wndrobny            | 208    | 205     |
|  492  | danmedani           | 191    | 209     |
|  344  | ibid                | 217    | 210     |
|  44   | mrauen              | 412    | 210     |
|  237  | tjohnson314         | 244    | 211     |
|  374  | (cdmoen)            | 210    | 211     |
|  180  | dcclyde             | 267    | 212     |
|  405  | katelyng            | 206    | 213     |
|  570  | mustelid            | 180    | 214     |
|  483  | squidaction         | 193    | 215     |
|  624  | kris.dude           | 173    | 215     |
|  294  | jbum                | 227    | 216     |
|  154  | (catherd)           | 281    | 217     |
|  522  | b49P23TIvg          | 186    | 218     |
|  983  | Sandamnit           | 145    | 219     |
|  20   | (kingvash)          | 502    | 220     |
|  535  | jsemko              | 184    | 225     |
|  323  | slicedclementines   | 220    | 226     |
|  569  | nseward             | 180    | 229     |
|  901  | fractaly            | 151    | 230     |
|  214  | wigie               | 252    | 231     |
|  194  | howzat2             | 260    | 233     |
|  455  | saryakhran          | 198    | 235     |
|  218  | jbbower             | 251    | 239     |
|  757  | bonenfan5ben        | 160    | 245     |
|  982  | (llasramblue)       | 145    | 245     |
|  643  | momentomori         | 171    | 248     |
|  354  | lilleswing          | 214    | 249     |
|  438  | (r4ven)             | 201    | 252     |
|  160  | dmeng               | 276    | 256     |
|  176  | fissional           | 269    | 257     |
|  251  | ArtVark             | 241    | 259     |
|  965  | tranzar             | 146    | 259     |
|  708  | shendart            | 165    | 264     |
|  781  | pkoes               | 158    | 264     |
|  900  | kinetical           | 151    | 266     |
|  421  | byorgey             | 203    | 269     |
|  175  | excelgeek           | 269    | 270     |
|  799  | skyroller           | 157    | 271     |
|  110  | quilan              | 319    | 272     |
|  11   | binonunquineist     | 571    | 273     |
|  13   | akdheirl            | 568    | 273     |
|  547  | xloxk               | 183    | 275     |
|  952  | victorliu           | 147    | 275     |
|  830  | jamarcus            | 155    | 278     |
|  388  | (bphillab)          | 208    | 280     |
|  655  | (geoffreyiy1)       | 170    | 281     |
|  844  | gideonleeper        | 154    | 281     |
|  568  | heropup             | 180    | 285     |
|  268  | davidgillis         | 236    | 286     |
|  347  | jeek                | 216    | 286     |
|  211  | losttribble         | 253    | 291     |
|  473  | wgpollock           | 195    | 291     |
|  546  | latkin              | 183    | 291     |
|  631  | jstelly             | 172    | 295     |
|  767  | kevmo314            | 159    | 298     |
|  404  | acotis              | 206    | 301     |
|  798  | jhogan              | 157    | 301     |
|  899  | dpark3542           | 151    | 301     |
|  879  | KevinRawlings       | 152    | 302     |
|  45   | donhatch            | 410    | 306     |
|  756  | QuasiChameleon      | 160    | 308     |
|  293  | chulsky             | 227    | 310     |
|  630  | hshearer            | 172    | 310     |
|  466  | qsari               | 196    | 313     |
|  370  | Dumbo52             | 211    | 315     |
|  394  | ghurst              | 207    | 317     |
|  343  | wartysoybean        | 217    | 318     |
|  437  | zifmia              | 201    | 320     |
|  70   | CreativeUsername    | 358    | 321     |
|  665  | yaks_hairbrush      | 169    | 324     |
|  446  | (ketankshukla)      | 200    | 325     |
|  856  | (David_Nickerson)   | 153    | 325     |
|  332  | gmgerken            | 219    | 329     |
|  797  | Nik654              | 157    | 332     |
|  582  | yred                | 179    | 335     |
|  21   | Eigenray            | 493    | 337     |
|  497  | TJQIV               | 190    | 339     |
|  654  | LisaC               | 170    | 339     |
|  247  | (griphyn220)        | 242    | 342     |
|  41   | mckennar            | 417    | 343     |
|  683  | nsheetz             | 167    | 345     |
|  623  | smeds1              | 173    | 346     |
|  928  | scar                | 149    | 346     |
|  115  | blaisegassend       | 312    | 350     |
|  843  | 11111011101         | 154    | 360     |
|  567  | involution          | 180    | 361     |
|  26   | antwerpn            | 471    | 364     |
|  306  | jquinn2             | 225    | 364     |
|  403  | amberite            | 206    | 367     |
|  269  | BoltonBailey        | 235    | 368     |
|  257  | hweigel528          | 238    | 371     |
|  600  | artemb              | 176    | 374     |
|  142  | (markr)             | 290    | 376     |
|  193  | xantoscguin         | 260    | 377     |
|  878  | aldesuda            | 152    | 380     |
|  89   | Lewin               | 341    | 380     |
|  829  | liub                | 155    | 381     |
|  951  | azax1               | 147    | 384     |
|  43   | (PeterW)            | 413    | 385     |
|  430  | dogbox              | 202    | 386     |
|  431  | downtownknits       | 202    | 386     |
|  545  | (ciphergoth)        | 183    | 390     |
|  449  | tklalmighty         | 199    | 391     |
|  496  | benhummon           | 190    | 393     |
|  360  | Stashio             | 213    | 394     |
|  491  | bsetzer             | 191    | 398     |
|  534  | zachzane            | 184    | 398     |
|  393  | Oatmeat             | 207    | 410     |
|  429  | teekyman            | 202    | 411     |
|  88   | thorfax             | 342    | 411     |
|  10   | (MarcusAndrews)     | 591    | 418     |
|  122  | MrPoush             | 308    | 418     |
|  697  | kvom                | 166    | 418     |
|  73   | jarsyl              | 356    | 418     |
|  97   | athenahealth        | 330    | 418     |
|  676  | Tureld              | 168    | 419     |
|  855  | JLLagrange          | 153    | 420     |
|  780  | robertel            | 158    | 425     |
|  171  | dshabes             | 272    | 430     |
|  96   | xharfire            | 330    | 432     |
|  981  | BeTheDuck           | 145    | 432     |
|  682  | Blenheim            | 167    | 433     |
|  742  | ruakh               | 161    | 433     |
|  664  | LucasBrown          | 169    | 440     |
|  275  | (edipusflex)        | 233    | 441     |
|  299  | nemtiax             | 226    | 445     |
|  448  | jke67               | 199    | 445     |
|  653  | simplicio101        | 170    | 445     |
|  331  | svensen             | 219    | 453     |
|  731  | (Babamots)          | 162    | 453     |
|  243  | lirkbald            | 243    | 455     |
|  755  | darebear            | 160    | 455     |
|  642  | masonium            | 171    | 458     |
|  796  | marsevern           | 157    | 459     |
|  681  | gte206w             | 167    | 464     |
|  696  | tschultz            | 166    | 466     |
|  126  | arbrad              | 303    | 467     |
|  116  | fizzix              | 311    | 468     |
|  936  | unc                 | 148    | 470     |
|  513  | awo                 | 188    | 472     |
|  236  | abecker             | 244    | 476     |
|  707  | avi972              | 165    | 479     |
|  460  | yamazaki256         | 197    | 481     |
|  766  | mallen84            | 159    | 482     |
|  206  | jbrennen            | 255    | 485     |
|  223  | sdx96               | 250    | 486     |
|  950  | jbeyer              | 147    | 488     |
|  459  | danielf             | 197    | 493     |
|  741  | fourteenrivers      | 161    | 493     |
|  205  | vorbis              | 255    | 495     |
|  72   | DanRoss53           | 356    | 500     |
|  369  | Glitch29            | 211    | 505     |
|  283  | NoHire              | 231    | 508     |
|  315  | demongolem          | 222    | 508     |
|  242  | (ncmilder)          | 243    | 509     |
|  533  | (zefrosnbrick)      | 184    | 511     |
|  617  | damon_achey         | 174    | 511     |
|  362  | KORENA              | 212    | 517     |
|  490  | gangien             | 191    | 520     |
|  274  | (szymczak)          | 233    | 523     |
|  177  | (RadioChuck)        | 268    | 528     |
|  779  | (smenon.euler)      | 158    | 528     |
|  189  | xZork               | 261    | 529     |
|  512  | jschorr             | 188    | 530     |
|  182  | (Bo102010)          | 265    | 533     |
|  921  | Zhongxia            | 150    | 535     |
|  898  | dougeuler2          | 151    | 537     |
|  581  | (pheinrich)         | 179    | 542     |
|  828  | (matthew.townsend)  | 155    | 550     |
|  27   | rprestezog          | 459    | 552     |
|  877  | curitre             | 152    | 561     |
|  964  | SamHarwellCSharp    | 146    | 562     |
|  588  | Cosmic              | 178    | 566     |
|  320  | JammaB              | 221    | 576     |
|  314  | (louiehelm)         | 222    | 577     |
|  920  | ertoz               | 150    | 583     |
|  778  | sykora              | 158    | 584     |
|  145  | thesunmaster        | 289    | 586     |
|  777  | (rmudroch)          | 158    | 586     |
|  402  | dbatche3            | 206    | 588     |
|  706  | HowLongBeen         | 165    | 589     |
|  186  | ecowarrior          | 262    | 595     |
|  919  | belovedeagle        | 150    | 595     |
|  163  | Atmospheric         | 275    | 597     |
|  740  | (Murray65536)       | 161    | 603     |
|  129  | vvenkai             | 301    | 604     |
|  465  | vitaminz            | 196    | 604     |
|  135  | lomont              | 296    | 613     |
|  227  | malisper            | 249    | 616     |
|  319  | pinger              | 221    | 618     |
|  407  | sattui              | 205    | 619     |
|  587  | ke9tv               | 178    | 619     |
|  517  | grovert             | 187    | 620     |
|  963  | darkdrium06         | 146    | 634     |
|  918  | ssmith2             | 150    | 635     |
|  254  | (0xE6)              | 240    | 637     |
|  609  | DaveBaum            | 175    | 643     |
|  330  | dwalthour           | 219    | 647     |
